Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
MÆt n¹ - KiÕm ThËp Tam	0	11	322	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - YÕn Cöu	0	11	323	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Bµnh Liªn §øc	0	11	324	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - L­u Phi Long	0	11	325	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - M¹c TiÓu Oanh	0	11	326	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - §µm Tam Tho¸i	0	11	327	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Nam trung niªn ThÇn bİ	0	11	328	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Long Ngò	0	11	329	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Lé Tr­êng Thiªn	0	11	330	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Lôc l©m	0	11	331	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Phan Nh­ Long	0	11	332	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - M«ng Cæ Vâ sÜ	0	11	333	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thñy TÆc	0	11	334	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Hµ Hoa §¹o	0	11	335	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Long Truy Vò	0	11	336	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Liªu §Şnh	0	11	337	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - L¹c Quang	0	11	338	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Ng©n Nha	0	11	339	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - S­¬ng §ao	0	11	340	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - L·nh §ao	0	11	341	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Hµn Th­¬ng	0	11	342	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - B«n L«i	0	11	343	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - §éc Bé	0	11	344	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Gi¸ng Chïy	0	11	345	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Xİch Ch­ëng	0	11	346	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Lang Bæng	0	11	347	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Bé Hi TrÇn	0	11	348	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - KiÒu §Ønh Thiªn	0	11	349	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - §iªu DŞch §ao	0	11	350	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - T©y M«n Giíi	0	11	351	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - HÇu KhÊt KiÕm	0	11	352	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - øng KhiÕu Phong	0	11	353	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Viªn NiÖm TŞch	0	11	354	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Ch÷ Thiªn MÉn	0	11	355	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - %Thiªn V­¬ng%	0	11	356	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Lo¹n thÕ anh hµo	0	11	357	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Truy mÖnh c­ sü	0	11	358	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ThÇn tiªn	0	11	359	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Nga chiÕn huyÕt	0	11	360	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Hå ®iÖp bèi bèi	0	11	361	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Ngäc mai lÇu	0	11	362	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thanh h­¬ng	0	11	363	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Cæ ®¹o phong	0	11	364	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Nh· háa n÷ nh©n	0	11	365	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ ngôy trang	0	11	366	\spr\item\equip\mask\yrmj_03.spr	379	1	1	Mang vµo sÏ nhËn ®­îc 1 kü n¨ng ngôy trang, sö dông víi nh÷ng ng­êi ch¬i kh¸c cã thÓ biÕn thµnh h×nh d¸ng cña hä		300	1																																	
VINAGAME_GM	0	11	367	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
TaiwanGAME_GM	0	11	368	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - L¹c Quang	0	11	369	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Ng©n Nha	0	11	370	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - S­¬ng §ao	0	11	371	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - L·nh §ao	0	11	372	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Hµn Th­¬ng	0	11	373	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - B«n L«i	0	11	374	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - §éc Bé	0	11	375	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Gi¸ng Chïy	0	11	376	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Xİch Ch­ëng	0	11	377	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Lang Bæng	0	11	378	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Tr­¬ng T«ng Chİnh	0	11	379	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - LiÔu Thanh Thanh	0	11	380	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - PhiÕn Kh¸ch	0	11	381	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - HuyÒn Gi¸c §¹i S­	0	11	382	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	2																																	
MÆt n¹ - Long Ngò	0	11	383	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - §ao song phông	0	11	384	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Mé Dung YÕn	0	11	385	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Tö hiÖp	0	11	386	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - B¹ch th¹ch ®¹o tr­ëng	0	11	387	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Khai th¹ch ®¹i s­	0	11	388	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - §­êng thÇn	0	11	389	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - NguyÖt dao dao	0	11	390	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - YÕn triÖu	0	11	391	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - LiÔu Phi Yªn	0	11	392	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Long thËp tam gia	0	11	393	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ¤ng Giµ N«el (®á)	0	11	394	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (®á)	0	11	395	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Tinh Linh (Lôc)	0	11	396	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ¤ng Giµ N«el (xanh)	0	11	397	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ¤ng Giµ N«el (Hång phÊn)	0	11	398	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ¤ng Giµ N«el (tr¾ng)	0	11	399	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ¤ng Giµ N«el (vµng)	0	11	400	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (xanh)	0	11	401	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (Hång phÊn)	0	11	402	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (tr¾ng)	0	11	403	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (vµng)	0	11	404	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - TuÇn Léc	0	11	405	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - T©n Niªn HiÖp Kh¸ch	0	11	406	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - T©n Niªn HiÖp N÷	0	11	407	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - D· TÈu	0	11	408	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - C¸t t­êng b¶o b¶o	0	11	409	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Nh­ ı b¶o b¶o	0	11	410	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Niªn thó b¶o b¶o	0	11	411	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ThiÕu Niªn L«i KiÕm	0	11	412	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ThiÕu Niªn TiÕu S­¬ng	0	11	413	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ThiÕu Niªn Háa NhËn	0	11	414	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ThiÕu Niªn H¶i §­êng	0	11	415	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ThiÕu Niªn Kim Phong	0	11	416	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - B¹ch thµnh quËn chñ	0	11	417	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Lam linh c«ng tö	0	11	418	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - TÇn bµ bµ	0	11	419	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - §«ng tö	0	11	420	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Tinh Linh (xanh)	0	11	421	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Tinh Linh (tİm)	0	11	422	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Tinh Linh (®á)	0	11	423	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Tinh Linh (vµng)	0	11	424	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Hoµng TuyÕt Nh©n	0	11	425	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Tö TuyÕt Nh©n	0	11	426	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Lôc TuyÕt Nh©n	0	11	427	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ Cæ Thiªn KhuyÕt	0	11	428	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ Chİnh Ng«n	0	11	429	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ ChiÕu NhËt MiÖn	0	11	430	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ §­êng H¹o	0	11	431	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ DiÖu NhÊt	0	11	432	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ LÖ ChiÕt Mai	0	11	433	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ §o¹n Méc Ly	0	11	434	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ B¹ch Lang	0	11	435	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ TÇn HiÓu Th­	0	11	436	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ L¨ng Tiªu Tö	0	11	437	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ L­¬ng Mi Nhi	0	11	438	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thanh Niªn L«i KiÕm	0	11	439	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thanh Niªn TiÕu S­¬ng	0	11	440	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Thanh Niªn H¶i §­êng	0	11	441	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - §Çu «ng ®Şa	0	11	442	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ Long L·o Hæ	0	11	443	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ Th­¬ng Gi¶i HËu	0	11	444	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ Xu©n Ng­u	0	11	445	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ §¹i T­íng qu©n	0	11	446	\spr\item\equip\mask\yrmj_04.spr	379	1	1	Thiªn H¹ V« §Şch		300	1																																	
MÆt n¹ Nguyªn so¸i	0	11	447	\spr\item\equip\mask\yrmj_04.spr	379	1	1	Vâ L©m Chİ T«n		300	1																																	
MÆt n¹ h»ng nga	0	11	448	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<<Î´·­Òë>>		300	1																																	
<<Î´·­Òë>>	0	11	449	\spr\item\equip\mask\yrmj_02.spr	379	1	1	<<Î´·­Òë>>		300	1																																	
MÆt n¹ §¹i T­íng qu©n	0	11	450	\spr\item\equip\mask\yrmj_04.spr	379	1	1	Thiªn H¹ V« §Şch		300	1																																	
MÆt n¹ - Háa V©n Hæ	0	11	451	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Sãi ®á	0	11	452	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - S¬n TÆc §Çu Môc	0	11	453	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ Cöu MÖnh	0	11	454	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Thä d÷ thiªn tÒ		300	1																																	
MÆt n¹ Quû ¶nh	0	11	455	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Quû ¶nh truy tinh		300	1																																	
MÆt n¹ - Vò n­¬ng gi¸ng sinh	0	11	456	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Chim c¸nh côt	0	11	457	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - GÊu tuyÕt gi¸ng sinh	0	11	458	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - L©m D· Tóy Thanh Phong	0	11	459	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Sau khi mang vµo sÏ biÕn thµnh thî s¨n choµng ¸o da hæ víi t­ thÕ rÊt hiªn ngang		300	1																																	
MÆt n¹ - S¬n Gi¶n TiÕu Hång TrÇn	0	11	460	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Sau khi mang vµo sÏ biÕn thµnh nµng thî s¨n choµng ¸o da hæ víi t­ thÕ rÊt kiÒu diÔm		300	1																																	
MÆt n¹ - Chİ T«n Vâ L©m ThiÕu HiÖp	0	11	461	\spr\item\equip\mask\yrmj_02.spr	379	1	1	½£ÍøVIP×¨ÓÃ		300	1																																	
MÆt n¹ - Chİ T«n Vâ L©m N÷ HiÖp	0	11	462	\spr\item\equip\mask\yrmj_02.spr	379	1	1	½£ÍøVIP×¨ÓÃ		300	1																																	
MÆt n¹ -Tö §oan (Cöu MÖnh)	0	11	463	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ -Tö Vò (Cöu MÖnh)	0	11	464	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ -Tö §oan (Tr­êng C«ng)	0	11	465	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ -Tö Vò (Tr­êng C«ng)	0	11	466	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ -Tö §oan (Kiªn NhÉn)	0	11	467	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ -Tö Vò (Kiªn NhÉn)	0	11	468	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - Cæ TruyÒn	0	11	469	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ - ¸o Dµi	0	11	470	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ KiÕm Phong (cöu mÖnh)	0	11	471	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
MÆt n¹ V©n Hµ (cöu mÖnh)	0	11	472	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		300	1																																	
